Date;CHMF_Price;CHMF_Open;CHMF_High;CHMF_Low;CHMF_Vol.;CHMF_Change %;MAGN_Price;MAGN_Open;MAGN_High;MAGN_Low;MAGN_Vol.;MAGN_Change %;NLMK_Price;NLMK_Open;NLMK_High;NLMK_Low;NLMK_Vol.;NLMK_Change %;Цена на арматуру
2019-08-26;949.72;946.2;964.0;937.2;3310280;0.0011;38.636;38.24;39.33;37.64;41660000.0;0.0013;141.308;140.0;143.2;139.0;18110000.0;-0.0018;38200
2019-09-02;979.32;949.4;1008.8;941.4;5217270;0.0002;40.746;38.96;42.03;38.96;54580000.0;-0.0155;145.932;142.2;149.62;141.7;25760000.0;-0.0077;37700
2019-09-09;993.96;1003.0;1005.0;982.4;4474790;0.0054;41.17;41.34;41.63;40.43;43030000.0;-0.0082;145.82;147.7;149.0;143.02;27730000.0;0.016;36900
2019-09-16;1011.92;999.8;1023.8;977.6;5628750;-0.0138;41.538;41.14;42.2;40.91;48450000.0;0.0061;148.812;149.2;150.96;145.68;23090000.0;0.003;36200
2019-09-23;974.44;999.0;1003.6;953.2;5444420;-0.0108;40.966;41.4;41.56;40.2;35290000.0;-0.0039;145.584;148.68;150.36;142.1;36500000.0;-0.0159;35000
2019-09-30;943.12;956.0;965.4;933.2;4604750;-0.0119;39.388;40.33;40.62;38.77;36050000.0;-0.001;141.928;142.96;144.4;140.12;19620000.0;0.0017;34200
2019-10-07;892.88;935.0;938.8;862.2;8360000;0.0036;37.44;39.1;39.34;36.26;63000000.0;0.0;134.88;142.3;142.56;129.74;44270000.0;-0.0035;33500
2019-10-14;884.04;884.8;906.4;870.2;5376820;-0.0139;37.014;37.0;38.24;36.38;60680000.0;-0.0263;129.924;131.96;133.14;127.16;28850000.0;-0.0075;33300
2019-10-21;880.88;876.8;898.2;864.0;7580000;-0.0114;36.586;36.6;37.52;35.81;48550000.0;-0.0156;127.776;129.5;129.8;124.3;31810000.0;-0.0171;33500
2019-10-28;879.12;871.0;898.2;871.0;5625290;0.0087;36.208;36.05;36.99;35.19;52790000.0;0.0174;125.1;126.6;127.46;122.16;33950000.0;0.0084;33300
2019-11-04;893.45;888.0;906.2;880.2;4231550;0.0125;36.95;36.2;38.02;36.06;55810000.0;0.0148;126.97;124.94;129.2;124.26;26240000.0;0.0088;33800
2019-11-11;914.68;895.2;938.4;893.6;9250000;-0.0161;38.34;37.1;39.66;36.98;60780000.0;-0.0127;130.684;127.0;133.7;126.74;36060000.0;-0.016;33500
2019-11-18;887.2;898.0;904.2;875.2;6670000;0.0029;38.01;38.0;;;;;;;;;;;32300
